"name","n","dim","i","data"
"complex",200,50,18,"cat"
"linear",500,50,18,"cat"
"rbf",500,50,18,"cat"
"matern32",500,50,18,"cat"
"complex",500,50,18,"cat"
"linear",1000,50,18,"cat"
"rbf",1000,50,18,"cat"
"matern32",1000,50,18,"cat"
"complex",1000,50,18,"cat"
"linear",100,100,18,"cat"
"rbf",100,100,18,"cat"
"matern32",100,100,18,"cat"
"complex",100,100,18,"cat"
"linear",200,100,18,"cat"
"rbf",200,100,18,"cat"
"matern32",200,100,18,"cat"
"complex",200,100,18,"cat"
"linear",500,100,18,"cat"
"rbf",500,100,18,"cat"
"matern32",500,100,18,"cat"
"complex",500,100,18,"cat"
"linear",1000,100,18,"cat"
"rbf",1000,100,18,"cat"
"matern32",1000,100,18,"cat"
"complex",1000,100,18,"cat"
"linear",100,25,19,"cat"
"rbf",100,25,19,"cat"
"matern32",100,25,19,"cat"
"complex",100,25,19,"cat"
"linear",200,25,19,"cat"
"rbf",200,25,19,"cat"
"matern32",200,25,19,"cat"
"complex",200,25,19,"cat"
"linear",500,25,19,"cat"
"rbf",500,25,19,"cat"
"matern32",500,25,19,"cat"
"complex",500,25,19,"cat"
"linear",1000,25,19,"cat"
"rbf",1000,25,19,"cat"
"matern32",1000,25,19,"cat"
"complex",1000,25,19,"cat"
"linear",100,50,19,"cat"
"rbf",100,50,19,"cat"
"matern32",100,50,19,"cat"
"complex",100,50,19,"cat"
"linear",200,50,19,"cat"
"rbf",200,50,19,"cat"
"matern32",200,50,19,"cat"
"complex",200,50,19,"cat"
"linear",500,50,19,"cat"
"rbf",500,50,19,"cat"
"matern32",500,50,19,"cat"
"complex",500,50,19,"cat"
"linear",1000,50,19,"cat"
"rbf",1000,50,19,"cat"
"matern32",1000,50,19,"cat"
"complex",1000,50,19,"cat"
"linear",100,100,19,"cat"
"rbf",100,100,19,"cat"
"matern32",100,100,19,"cat"
"complex",100,100,19,"cat"
"linear",200,100,19,"cat"
"rbf",200,100,19,"cat"
"matern32",200,100,19,"cat"
"complex",200,100,19,"cat"
"linear",500,100,19,"cat"
"rbf",500,100,19,"cat"
"matern32",500,100,19,"cat"
"complex",500,100,19,"cat"
"linear",1000,100,19,"cat"
"rbf",1000,100,19,"cat"
"matern32",1000,100,19,"cat"
"complex",1000,100,19,"cat"
"linear",100,25,0,"cont"
"rbf",100,25,0,"cont"
"matern32",100,25,0,"cont"
"complex",100,25,0,"cont"
"linear",200,25,0,"cont"
"rbf",200,25,0,"cont"
"matern32",200,25,0,"cont"
"complex",200,25,0,"cont"
"linear",500,25,0,"cont"
"rbf",500,25,0,"cont"
"matern32",500,25,0,"cont"
"complex",500,25,0,"cont"
"linear",1000,25,0,"cont"
"rbf",1000,25,0,"cont"
"matern32",1000,25,0,"cont"
"complex",1000,25,0,"cont"
"linear",100,50,0,"cont"
"rbf",100,50,0,"cont"
"matern32",100,50,0,"cont"
"complex",100,50,0,"cont"
"linear",200,50,0,"cont"
"rbf",200,50,0,"cont"
"matern32",200,50,0,"cont"
"complex",200,50,0,"cont"
"linear",500,50,0,"cont"
"rbf",500,50,0,"cont"
"matern32",500,50,0,"cont"
"complex",500,50,0,"cont"
"linear",1000,50,0,"cont"
"rbf",1000,50,0,"cont"
"matern32",1000,50,0,"cont"
"complex",1000,50,0,"cont"
"linear",100,100,0,"cont"
"rbf",100,100,0,"cont"
"matern32",100,100,0,"cont"
"complex",100,100,0,"cont"
"linear",200,100,0,"cont"
"rbf",200,100,0,"cont"
"matern32",200,100,0,"cont"
"complex",200,100,0,"cont"
"linear",500,100,0,"cont"
"rbf",500,100,0,"cont"
"matern32",500,100,0,"cont"
"complex",500,100,0,"cont"
"linear",1000,100,0,"cont"
"rbf",1000,100,0,"cont"
"matern32",1000,100,0,"cont"
"complex",1000,100,0,"cont"
"linear",100,25,1,"cont"
"rbf",100,25,1,"cont"
"matern32",100,25,1,"cont"
"complex",100,25,1,"cont"
"linear",200,25,1,"cont"
"rbf",200,25,1,"cont"
"matern32",200,25,1,"cont"
"complex",200,25,1,"cont"
"linear",500,25,1,"cont"
"rbf",500,25,1,"cont"
"matern32",500,25,1,"cont"
"complex",500,25,1,"cont"
"linear",1000,25,1,"cont"
"rbf",1000,25,1,"cont"
"matern32",1000,25,1,"cont"
"complex",1000,25,1,"cont"
"linear",100,50,1,"cont"
"rbf",100,50,1,"cont"
"matern32",100,50,1,"cont"
"complex",100,50,1,"cont"
"linear",200,50,1,"cont"
"rbf",200,50,1,"cont"
"matern32",200,50,1,"cont"
"complex",200,50,1,"cont"
"linear",500,50,1,"cont"
"rbf",500,50,1,"cont"
"matern32",500,50,1,"cont"
"complex",500,50,1,"cont"
"linear",1000,50,1,"cont"
"rbf",1000,50,1,"cont"
"matern32",1000,50,1,"cont"
"complex",1000,50,1,"cont"
"linear",100,100,1,"cont"
"rbf",100,100,1,"cont"
"matern32",100,100,1,"cont"
"complex",100,100,1,"cont"
"linear",200,100,1,"cont"
"rbf",200,100,1,"cont"
"matern32",200,100,1,"cont"
"complex",200,100,1,"cont"
"linear",500,100,1,"cont"
"rbf",500,100,1,"cont"
"matern32",500,100,1,"cont"
"complex",500,100,1,"cont"
"linear",1000,100,1,"cont"
"rbf",1000,100,1,"cont"
"matern32",1000,100,1,"cont"
"complex",1000,100,1,"cont"
"linear",100,25,2,"cont"
"rbf",100,25,2,"cont"
"matern32",100,25,2,"cont"
"complex",100,25,2,"cont"
"linear",200,25,2,"cont"
"rbf",200,25,2,"cont"
"matern32",200,25,2,"cont"
"complex",200,25,2,"cont"
"linear",500,25,2,"cont"
"rbf",500,25,2,"cont"
"matern32",500,25,2,"cont"
"complex",500,25,2,"cont"
"linear",1000,25,2,"cont"
"rbf",1000,25,2,"cont"
"matern32",1000,25,2,"cont"
"complex",1000,25,2,"cont"
"linear",100,50,2,"cont"
"rbf",100,50,2,"cont"
"matern32",100,50,2,"cont"
"complex",100,50,2,"cont"
"linear",200,50,2,"cont"
"rbf",200,50,2,"cont"
"matern32",200,50,2,"cont"
"complex",200,50,2,"cont"
"linear",500,50,2,"cont"
"rbf",500,50,2,"cont"
"matern32",500,50,2,"cont"
"complex",500,50,2,"cont"
"linear",1000,50,2,"cont"
"rbf",1000,50,2,"cont"
"matern32",1000,50,2,"cont"
"complex",1000,50,2,"cont"
"linear",100,100,2,"cont"
"rbf",100,100,2,"cont"
"matern32",100,100,2,"cont"
"complex",100,100,2,"cont"
"linear",200,100,2,"cont"
"rbf",200,100,2,"cont"
"matern32",200,100,2,"cont"
"complex",200,100,2,"cont"
"linear",500,100,2,"cont"
"rbf",500,100,2,"cont"
"matern32",500,100,2,"cont"
"complex",500,100,2,"cont"
"linear",1000,100,2,"cont"
"rbf",1000,100,2,"cont"
"matern32",1000,100,2,"cont"
"complex",1000,100,2,"cont"
"linear",100,25,3,"cont"
"rbf",100,25,3,"cont"
"matern32",100,25,3,"cont"
"complex",100,25,3,"cont"
"linear",200,25,3,"cont"
"rbf",200,25,3,"cont"
"matern32",200,25,3,"cont"
"complex",200,25,3,"cont"
"linear",500,25,3,"cont"
"rbf",500,25,3,"cont"
"matern32",500,25,3,"cont"
"complex",500,25,3,"cont"
"linear",1000,25,3,"cont"
"rbf",1000,25,3,"cont"
"matern32",1000,25,3,"cont"
"complex",1000,25,3,"cont"
"linear",100,50,3,"cont"
"rbf",100,50,3,"cont"
"matern32",100,50,3,"cont"
"complex",100,50,3,"cont"
"linear",200,50,3,"cont"
"rbf",200,50,3,"cont"
"matern32",200,50,3,"cont"
"complex",200,50,3,"cont"
"linear",500,50,3,"cont"
"rbf",500,50,3,"cont"
"matern32",500,50,3,"cont"
"complex",500,50,3,"cont"
"linear",1000,50,3,"cont"
"rbf",1000,50,3,"cont"
"matern32",1000,50,3,"cont"
"complex",1000,50,3,"cont"
"linear",100,100,3,"cont"
"rbf",100,100,3,"cont"
"matern32",100,100,3,"cont"
"complex",100,100,3,"cont"
"linear",200,100,3,"cont"
"rbf",200,100,3,"cont"
"matern32",200,100,3,"cont"
"complex",200,100,3,"cont"
"linear",500,100,3,"cont"
"rbf",500,100,3,"cont"
"matern32",500,100,3,"cont"
"complex",500,100,3,"cont"
"linear",1000,100,3,"cont"
"rbf",1000,100,3,"cont"
"matern32",1000,100,3,"cont"
"complex",1000,100,3,"cont"
"linear",100,25,4,"cont"
"rbf",100,25,4,"cont"
"matern32",100,25,4,"cont"
"complex",100,25,4,"cont"
"linear",200,25,4,"cont"
"rbf",200,25,4,"cont"
"matern32",200,25,4,"cont"
"complex",200,25,4,"cont"
"linear",500,25,4,"cont"
"rbf",500,25,4,"cont"
"matern32",500,25,4,"cont"
"complex",500,25,4,"cont"
"linear",1000,25,4,"cont"
"rbf",1000,25,4,"cont"
"matern32",1000,25,4,"cont"
"complex",1000,25,4,"cont"
"linear",100,50,4,"cont"
"rbf",100,50,4,"cont"
"matern32",100,50,4,"cont"
"complex",100,50,4,"cont"
"linear",200,50,4,"cont"
"rbf",200,50,4,"cont"
"matern32",200,50,4,"cont"
"complex",200,50,4,"cont"
"linear",500,50,4,"cont"
"rbf",500,50,4,"cont"
"matern32",500,50,4,"cont"
"complex",500,50,4,"cont"
"linear",1000,50,4,"cont"
"rbf",1000,50,4,"cont"
"matern32",1000,50,4,"cont"
"complex",1000,50,4,"cont"
"linear",100,100,4,"cont"
"rbf",100,100,4,"cont"
"matern32",100,100,4,"cont"
"complex",100,100,4,"cont"
"linear",200,100,4,"cont"
"rbf",200,100,4,"cont"
"matern32",200,100,4,"cont"
"complex",200,100,4,"cont"
"linear",500,100,4,"cont"
"rbf",500,100,4,"cont"
"matern32",500,100,4,"cont"
"complex",500,100,4,"cont"
"linear",1000,100,4,"cont"
"rbf",1000,100,4,"cont"
"matern32",1000,100,4,"cont"
"complex",1000,100,4,"cont"
"linear",100,25,5,"cont"
"rbf",100,25,5,"cont"
"matern32",100,25,5,"cont"
"complex",100,25,5,"cont"
"linear",200,25,5,"cont"
"rbf",200,25,5,"cont"
"matern32",200,25,5,"cont"
"complex",200,25,5,"cont"
"linear",500,25,5,"cont"
"rbf",500,25,5,"cont"
"matern32",500,25,5,"cont"
"complex",500,25,5,"cont"
"linear",1000,25,5,"cont"
"rbf",1000,25,5,"cont"
"matern32",1000,25,5,"cont"
"complex",1000,25,5,"cont"
"linear",100,50,5,"cont"
"rbf",100,50,5,"cont"
"matern32",100,50,5,"cont"
"complex",100,50,5,"cont"
"linear",200,50,5,"cont"
"rbf",200,50,5,"cont"
"matern32",200,50,5,"cont"
"complex",200,50,5,"cont"
"linear",500,50,5,"cont"
"rbf",500,50,5,"cont"
"matern32",500,50,5,"cont"
"complex",500,50,5,"cont"
"linear",1000,50,5,"cont"
"rbf",1000,50,5,"cont"
"matern32",1000,50,5,"cont"
"complex",1000,50,5,"cont"
"linear",100,100,5,"cont"
"rbf",100,100,5,"cont"
"matern32",100,100,5,"cont"
"complex",100,100,5,"cont"
"linear",200,100,5,"cont"
"rbf",200,100,5,"cont"
"matern32",200,100,5,"cont"
"complex",200,100,5,"cont"
"linear",500,100,5,"cont"
"rbf",500,100,5,"cont"
"matern32",500,100,5,"cont"
"complex",500,100,5,"cont"
"linear",1000,100,5,"cont"
"rbf",1000,100,5,"cont"
"matern32",1000,100,5,"cont"
"complex",1000,100,5,"cont"
"linear",100,25,6,"cont"
"rbf",100,25,6,"cont"
"matern32",100,25,6,"cont"
"complex",100,25,6,"cont"
"linear",200,25,6,"cont"
"rbf",200,25,6,"cont"
"matern32",200,25,6,"cont"
"complex",200,25,6,"cont"
"linear",500,25,6,"cont"
"rbf",500,25,6,"cont"
"matern32",500,25,6,"cont"
"complex",500,25,6,"cont"
"linear",1000,25,6,"cont"
"rbf",1000,25,6,"cont"
"matern32",1000,25,6,"cont"
"complex",1000,25,6,"cont"
"linear",100,50,6,"cont"
"rbf",100,50,6,"cont"
"matern32",100,50,6,"cont"
"complex",100,50,6,"cont"
"linear",200,50,6,"cont"
"rbf",200,50,6,"cont"
"matern32",200,50,6,"cont"
"complex",200,50,6,"cont"
"linear",500,50,6,"cont"
"rbf",500,50,6,"cont"
"matern32",500,50,6,"cont"
"complex",500,50,6,"cont"
"linear",1000,50,6,"cont"
"rbf",1000,50,6,"cont"
"matern32",1000,50,6,"cont"
"complex",1000,50,6,"cont"
"linear",100,100,6,"cont"
"rbf",100,100,6,"cont"
"matern32",100,100,6,"cont"
"complex",100,100,6,"cont"
"linear",200,100,6,"cont"
"rbf",200,100,6,"cont"
"matern32",200,100,6,"cont"
"complex",200,100,6,"cont"
"linear",500,100,6,"cont"
"rbf",500,100,6,"cont"
"matern32",500,100,6,"cont"
"complex",500,100,6,"cont"
"linear",1000,100,6,"cont"
"rbf",1000,100,6,"cont"
"matern32",1000,100,6,"cont"
"complex",1000,100,6,"cont"
"linear",100,25,7,"cont"
"rbf",100,25,7,"cont"
"matern32",100,25,7,"cont"
"complex",100,25,7,"cont"
"linear",200,25,7,"cont"
"rbf",200,25,7,"cont"
"matern32",200,25,7,"cont"
"complex",200,25,7,"cont"
"linear",500,25,7,"cont"
"rbf",500,25,7,"cont"
"matern32",500,25,7,"cont"
"complex",500,25,7,"cont"
"linear",1000,25,7,"cont"
"rbf",1000,25,7,"cont"
"matern32",1000,25,7,"cont"
"complex",1000,25,7,"cont"
"linear",100,50,7,"cont"
"rbf",100,50,7,"cont"
"matern32",100,50,7,"cont"
"complex",100,50,7,"cont"
"linear",200,50,7,"cont"
"rbf",200,50,7,"cont"
"matern32",200,50,7,"cont"
"complex",200,50,7,"cont"
"linear",500,50,7,"cont"
"rbf",500,50,7,"cont"
"matern32",500,50,7,"cont"
"complex",500,50,7,"cont"
"linear",1000,50,7,"cont"
"rbf",1000,50,7,"cont"
"matern32",1000,50,7,"cont"
"complex",1000,50,7,"cont"
"linear",100,100,7,"cont"
"rbf",100,100,7,"cont"
"matern32",100,100,7,"cont"
"complex",100,100,7,"cont"
"linear",200,100,7,"cont"
"rbf",200,100,7,"cont"
"matern32",200,100,7,"cont"
"complex",200,100,7,"cont"
"linear",500,100,7,"cont"
"rbf",500,100,7,"cont"
"matern32",500,100,7,"cont"
"complex",500,100,7,"cont"
"linear",1000,100,7,"cont"
"rbf",1000,100,7,"cont"
"matern32",1000,100,7,"cont"
"complex",1000,100,7,"cont"
"linear",100,25,8,"cont"
"rbf",100,25,8,"cont"
"matern32",100,25,8,"cont"
"complex",100,25,8,"cont"
"linear",200,25,8,"cont"
"rbf",200,25,8,"cont"
"matern32",200,25,8,"cont"
"complex",200,25,8,"cont"
"linear",500,25,8,"cont"
"rbf",500,25,8,"cont"
"matern32",500,25,8,"cont"
"complex",500,25,8,"cont"
"linear",1000,25,8,"cont"
"rbf",1000,25,8,"cont"
"matern32",1000,25,8,"cont"
"complex",1000,25,8,"cont"
"linear",100,50,8,"cont"
"rbf",100,50,8,"cont"
"matern32",100,50,8,"cont"
"complex",100,50,8,"cont"
"linear",200,50,8,"cont"
"rbf",200,50,8,"cont"
"matern32",200,50,8,"cont"
"complex",200,50,8,"cont"
"linear",500,50,8,"cont"
"rbf",500,50,8,"cont"
"matern32",500,50,8,"cont"
"complex",500,50,8,"cont"
"linear",1000,50,8,"cont"
"rbf",1000,50,8,"cont"
"matern32",1000,50,8,"cont"
"complex",1000,50,8,"cont"
"linear",100,100,8,"cont"
"rbf",100,100,8,"cont"
"matern32",100,100,8,"cont"
"complex",100,100,8,"cont"
"linear",200,100,8,"cont"
"rbf",200,100,8,"cont"
"matern32",200,100,8,"cont"
"complex",200,100,8,"cont"
"linear",500,100,8,"cont"
"rbf",500,100,8,"cont"
"matern32",500,100,8,"cont"
"complex",500,100,8,"cont"
"linear",1000,100,8,"cont"
"rbf",1000,100,8,"cont"
"matern32",1000,100,8,"cont"
"complex",1000,100,8,"cont"
"linear",100,25,9,"cont"
"rbf",100,25,9,"cont"
"matern32",100,25,9,"cont"
"complex",100,25,9,"cont"
"linear",200,25,9,"cont"
"rbf",200,25,9,"cont"
"matern32",200,25,9,"cont"
"complex",200,25,9,"cont"
"linear",500,25,9,"cont"
"rbf",500,25,9,"cont"
"matern32",500,25,9,"cont"
"complex",500,25,9,"cont"
"linear",1000,25,9,"cont"
"rbf",1000,25,9,"cont"
"matern32",1000,25,9,"cont"
"complex",1000,25,9,"cont"
"linear",100,50,9,"cont"
"rbf",100,50,9,"cont"
"matern32",100,50,9,"cont"
"complex",100,50,9,"cont"
"linear",200,50,9,"cont"
"rbf",200,50,9,"cont"
"matern32",200,50,9,"cont"
"complex",200,50,9,"cont"
"linear",500,50,9,"cont"
"rbf",500,50,9,"cont"
"matern32",500,50,9,"cont"
"complex",500,50,9,"cont"
"linear",1000,50,9,"cont"
"rbf",1000,50,9,"cont"
"matern32",1000,50,9,"cont"
"complex",1000,50,9,"cont"
"linear",100,100,9,"cont"
"rbf",100,100,9,"cont"
"matern32",100,100,9,"cont"
"complex",100,100,9,"cont"
"linear",200,100,9,"cont"
"rbf",200,100,9,"cont"
"matern32",200,100,9,"cont"
"complex",200,100,9,"cont"
"linear",500,100,9,"cont"
"rbf",500,100,9,"cont"
"matern32",500,100,9,"cont"
"complex",500,100,9,"cont"
"linear",1000,100,9,"cont"
"rbf",1000,100,9,"cont"
"matern32",1000,100,9,"cont"
"complex",1000,100,9,"cont"
"linear",100,25,10,"cont"
"rbf",100,25,10,"cont"
"matern32",100,25,10,"cont"
"complex",100,25,10,"cont"
"linear",200,25,10,"cont"
"rbf",200,25,10,"cont"
"matern32",200,25,10,"cont"
"complex",200,25,10,"cont"
"linear",500,25,10,"cont"
"rbf",500,25,10,"cont"
"matern32",500,25,10,"cont"
"complex",500,25,10,"cont"
"linear",1000,25,10,"cont"
"rbf",1000,25,10,"cont"
"matern32",1000,25,10,"cont"
"complex",1000,25,10,"cont"
"linear",100,50,10,"cont"
"rbf",100,50,10,"cont"
"matern32",100,50,10,"cont"
"complex",100,50,10,"cont"
"linear",200,50,10,"cont"
"rbf",200,50,10,"cont"
"matern32",200,50,10,"cont"
"complex",200,50,10,"cont"
"linear",500,50,10,"cont"
"rbf",500,50,10,"cont"
"matern32",500,50,10,"cont"
"complex",500,50,10,"cont"
"linear",1000,50,10,"cont"
"rbf",1000,50,10,"cont"
"matern32",1000,50,10,"cont"
"complex",1000,50,10,"cont"
"linear",100,100,10,"cont"
"rbf",100,100,10,"cont"
"matern32",100,100,10,"cont"
"complex",100,100,10,"cont"
"linear",200,100,10,"cont"
"rbf",200,100,10,"cont"
"matern32",200,100,10,"cont"
"complex",200,100,10,"cont"
"linear",500,100,10,"cont"
"rbf",500,100,10,"cont"
"matern32",500,100,10,"cont"
"complex",500,100,10,"cont"
"linear",1000,100,10,"cont"
"rbf",1000,100,10,"cont"
"matern32",1000,100,10,"cont"
"complex",1000,100,10,"cont"
"linear",100,25,11,"cont"
"rbf",100,25,11,"cont"
"matern32",100,25,11,"cont"
"complex",100,25,11,"cont"
"linear",200,25,11,"cont"
"rbf",200,25,11,"cont"
"matern32",200,25,11,"cont"
"complex",200,25,11,"cont"
"linear",500,25,11,"cont"
"rbf",500,25,11,"cont"
"matern32",500,25,11,"cont"
"complex",500,25,11,"cont"
"linear",1000,25,11,"cont"
"rbf",1000,25,11,"cont"
"matern32",1000,25,11,"cont"
"complex",1000,25,11,"cont"
"linear",100,50,11,"cont"
"rbf",100,50,11,"cont"
"matern32",100,50,11,"cont"
"complex",100,50,11,"cont"
"linear",200,50,11,"cont"
"rbf",200,50,11,"cont"
"matern32",200,50,11,"cont"
"complex",200,50,11,"cont"
"linear",500,50,11,"cont"
"rbf",500,50,11,"cont"
"matern32",500,50,11,"cont"
"complex",500,50,11,"cont"
"linear",1000,50,11,"cont"
"rbf",1000,50,11,"cont"
"matern32",1000,50,11,"cont"
"complex",1000,50,11,"cont"
"linear",100,100,11,"cont"
"rbf",100,100,11,"cont"
"matern32",100,100,11,"cont"
"complex",100,100,11,"cont"
"linear",200,100,11,"cont"
"rbf",200,100,11,"cont"
"matern32",200,100,11,"cont"
"complex",200,100,11,"cont"
"linear",500,100,11,"cont"
"rbf",500,100,11,"cont"
"matern32",500,100,11,"cont"
"complex",500,100,11,"cont"
"linear",1000,100,11,"cont"
"rbf",1000,100,11,"cont"
"matern32",1000,100,11,"cont"
"complex",1000,100,11,"cont"
"linear",100,25,12,"cont"
"rbf",100,25,12,"cont"
"matern32",100,25,12,"cont"
"complex",100,25,12,"cont"
"linear",200,25,12,"cont"
"rbf",200,25,12,"cont"
"matern32",200,25,12,"cont"
"complex",200,25,12,"cont"
"linear",500,25,12,"cont"
"rbf",500,25,12,"cont"
"matern32",500,25,12,"cont"
"complex",500,25,12,"cont"
"linear",1000,25,12,"cont"
"rbf",1000,25,12,"cont"
"matern32",1000,25,12,"cont"
"complex",1000,25,12,"cont"
"linear",100,50,12,"cont"
"rbf",100,50,12,"cont"
"matern32",100,50,12,"cont"
"complex",100,50,12,"cont"
"linear",200,50,12,"cont"
"rbf",200,50,12,"cont"
"matern32",200,50,12,"cont"
"complex",200,50,12,"cont"
"linear",500,50,12,"cont"
"rbf",500,50,12,"cont"
"matern32",500,50,12,"cont"
"complex",500,50,12,"cont"
"linear",1000,50,12,"cont"
"rbf",1000,50,12,"cont"
"matern32",1000,50,12,"cont"
"complex",1000,50,12,"cont"
"linear",100,100,12,"cont"
"rbf",100,100,12,"cont"
"matern32",100,100,12,"cont"
"complex",100,100,12,"cont"
"linear",200,100,12,"cont"
"rbf",200,100,12,"cont"
"matern32",200,100,12,"cont"
"complex",200,100,12,"cont"
"linear",500,100,12,"cont"
"rbf",500,100,12,"cont"
"matern32",500,100,12,"cont"
"complex",500,100,12,"cont"
"linear",1000,100,12,"cont"
"rbf",1000,100,12,"cont"
"matern32",1000,100,12,"cont"
"complex",1000,100,12,"cont"
"linear",100,25,13,"cont"
"rbf",100,25,13,"cont"
"matern32",100,25,13,"cont"
"complex",100,25,13,"cont"
"linear",200,25,13,"cont"
"rbf",200,25,13,"cont"
"matern32",200,25,13,"cont"
"complex",200,25,13,"cont"
"linear",500,25,13,"cont"
"rbf",500,25,13,"cont"
"matern32",500,25,13,"cont"
"complex",500,25,13,"cont"
"linear",1000,25,13,"cont"
"rbf",1000,25,13,"cont"
"matern32",1000,25,13,"cont"
"complex",1000,25,13,"cont"
"linear",100,50,13,"cont"
"rbf",100,50,13,"cont"
"matern32",100,50,13,"cont"
"complex",100,50,13,"cont"
"linear",200,50,13,"cont"
"rbf",200,50,13,"cont"
"matern32",200,50,13,"cont"
"complex",200,50,13,"cont"
"linear",500,50,13,"cont"
"rbf",500,50,13,"cont"
"matern32",500,50,13,"cont"
"complex",500,50,13,"cont"
"linear",1000,50,13,"cont"
"rbf",1000,50,13,"cont"
"matern32",1000,50,13,"cont"
"complex",1000,50,13,"cont"
"linear",100,100,13,"cont"
"rbf",100,100,13,"cont"
"matern32",100,100,13,"cont"
"complex",100,100,13,"cont"
"linear",200,100,13,"cont"
"rbf",200,100,13,"cont"
"matern32",200,100,13,"cont"
"complex",200,100,13,"cont"
"linear",500,100,13,"cont"
"rbf",500,100,13,"cont"
"matern32",500,100,13,"cont"
"complex",500,100,13,"cont"
"linear",1000,100,13,"cont"
"rbf",1000,100,13,"cont"
"matern32",1000,100,13,"cont"
"complex",1000,100,13,"cont"
"linear",100,25,14,"cont"
"rbf",100,25,14,"cont"
"matern32",100,25,14,"cont"
"complex",100,25,14,"cont"
"linear",200,25,14,"cont"
"rbf",200,25,14,"cont"
"matern32",200,25,14,"cont"
"complex",200,25,14,"cont"
"linear",500,25,14,"cont"
"rbf",500,25,14,"cont"
"matern32",500,25,14,"cont"
"complex",500,25,14,"cont"
"linear",1000,25,14,"cont"
"rbf",1000,25,14,"cont"
"matern32",1000,25,14,"cont"
"complex",1000,25,14,"cont"
"linear",100,50,14,"cont"
"rbf",100,50,14,"cont"
"matern32",100,50,14,"cont"
"complex",100,50,14,"cont"
"linear",200,50,14,"cont"
"rbf",200,50,14,"cont"
"matern32",200,50,14,"cont"
"complex",200,50,14,"cont"
"linear",500,50,14,"cont"
"rbf",500,50,14,"cont"
"matern32",500,50,14,"cont"
"complex",500,50,14,"cont"
"linear",1000,50,14,"cont"
"rbf",1000,50,14,"cont"
"matern32",1000,50,14,"cont"
"complex",1000,50,14,"cont"
"linear",100,100,14,"cont"
"rbf",100,100,14,"cont"
"matern32",100,100,14,"cont"
"complex",100,100,14,"cont"
"linear",200,100,14,"cont"
"rbf",200,100,14,"cont"
"matern32",200,100,14,"cont"
"complex",200,100,14,"cont"
"linear",500,100,14,"cont"
"rbf",500,100,14,"cont"
"matern32",500,100,14,"cont"
"complex",500,100,14,"cont"
"linear",1000,100,14,"cont"
"rbf",1000,100,14,"cont"
"matern32",1000,100,14,"cont"
"complex",1000,100,14,"cont"
"linear",100,25,15,"cont"
"rbf",100,25,15,"cont"
"matern32",100,25,15,"cont"
"complex",100,25,15,"cont"
"linear",200,25,15,"cont"
"rbf",200,25,15,"cont"
"matern32",200,25,15,"cont"
"complex",200,25,15,"cont"
"linear",500,25,15,"cont"
"rbf",500,25,15,"cont"
"matern32",500,25,15,"cont"
"complex",500,25,15,"cont"
"linear",1000,25,15,"cont"
"rbf",1000,25,15,"cont"
"matern32",1000,25,15,"cont"
"complex",1000,25,15,"cont"
"linear",100,50,15,"cont"
"rbf",100,50,15,"cont"
"matern32",100,50,15,"cont"
"complex",100,50,15,"cont"
"linear",200,50,15,"cont"
"rbf",200,50,15,"cont"
"matern32",200,50,15,"cont"
"complex",200,50,15,"cont"
"linear",500,50,15,"cont"
"rbf",500,50,15,"cont"
"matern32",500,50,15,"cont"
"complex",500,50,15,"cont"
"linear",1000,50,15,"cont"
"rbf",1000,50,15,"cont"
"matern32",1000,50,15,"cont"
"complex",1000,50,15,"cont"
"linear",100,100,15,"cont"
"rbf",100,100,15,"cont"
"matern32",100,100,15,"cont"
"complex",100,100,15,"cont"
"linear",200,100,15,"cont"
"rbf",200,100,15,"cont"
"matern32",200,100,15,"cont"
"complex",200,100,15,"cont"
"linear",500,100,15,"cont"
"rbf",500,100,15,"cont"
"matern32",500,100,15,"cont"
"complex",500,100,15,"cont"
"linear",1000,100,15,"cont"
"rbf",1000,100,15,"cont"
"matern32",1000,100,15,"cont"
"complex",1000,100,15,"cont"
"linear",100,25,16,"cont"
"rbf",100,25,16,"cont"
"matern32",100,25,16,"cont"
"complex",100,25,16,"cont"
"linear",200,25,16,"cont"
"rbf",200,25,16,"cont"
"matern32",200,25,16,"cont"
"complex",200,25,16,"cont"
"linear",500,25,16,"cont"
"rbf",500,25,16,"cont"
"matern32",500,25,16,"cont"
"complex",500,25,16,"cont"
"linear",1000,25,16,"cont"
"rbf",1000,25,16,"cont"
"matern32",1000,25,16,"cont"
"complex",1000,25,16,"cont"
"linear",100,50,16,"cont"
"rbf",100,50,16,"cont"
"matern32",100,50,16,"cont"
"complex",100,50,16,"cont"
"linear",200,50,16,"cont"
"rbf",200,50,16,"cont"
"matern32",200,50,16,"cont"
"complex",200,50,16,"cont"
"linear",500,50,16,"cont"
"rbf",500,50,16,"cont"
"matern32",500,50,16,"cont"
"complex",500,50,16,"cont"
"linear",1000,50,16,"cont"
"rbf",1000,50,16,"cont"
"matern32",1000,50,16,"cont"
"complex",1000,50,16,"cont"
"linear",100,100,16,"cont"
"rbf",100,100,16,"cont"
"matern32",100,100,16,"cont"
"complex",100,100,16,"cont"
"linear",200,100,16,"cont"
"rbf",200,100,16,"cont"
"matern32",200,100,16,"cont"
"complex",200,100,16,"cont"
"linear",500,100,16,"cont"
"rbf",500,100,16,"cont"
"matern32",500,100,16,"cont"
"complex",500,100,16,"cont"
"linear",1000,100,16,"cont"
"rbf",1000,100,16,"cont"
"matern32",1000,100,16,"cont"
